"","County","FIPS","State","FFRPTH14","PCH_FFRPTH_09_14","FSRPTH14","PCH_FSRPTH_09_14","long","lat","group","order","State_name"
"11160","Benton",27009,"MN",0.35437655,-24.36423159,0.68344049,38.19166709,-119.834121704102,46.6158447265625,2893,85022,"Washington"
"11351","Benton",29015,"MO",0.265872594,26.26289482,1.169839413,-14.52973274,-119.834121704102,46.6158447265625,2893,85022,"Washington"
"11542","Benton",41003,"OR",0.683534918,-2.72158889,0.892070995,20.91101946,-119.834121704102,46.6158447265625,2893,85022,"Washington"
"11733","Benton",5007,"AR",0.660281197,4.401542299,0.631393895,3.615564779,-119.834121704102,46.6158447265625,2893,85022,"Washington"
"11924","Benton",47005,"TN",0.495509446,16.26067336,0.86714153,9.553326822,-119.834121704102,46.6158447265625,2893,85022,"Washington"
"12115","Benton",19011,"IA",0.23364486,22.04205608,0.46728972,35.60228453,-119.834121704102,46.6158447265625,2893,85022,"Washington"
"12306","Benton",18007,"IN",0.574712644,25.50287356,0.229885057,-33.0651341,-119.834121704102,46.6158447265625,2893,85022,"Washington"
"12497","Benton",28009,"MS",0,0,0,-100,-119.834121704102,46.6158447265625,2893,85022,"Washington"
"12688","Benzie",26019,"MI",0.742051487,30.33392317,1.198698556,-4.300266204,-86.2358779907227,44.6506004333496,1207,38733,"Michigan"
"12702","Bergen",34003,"NJ",0.816219852,2.063644618,1.000458454,21.72050744,-74.2266845703125,40.9836730957031,1743,51335,"New jersey"
"12729","Berkeley",54003,"WV",0.597301284,15.88771897,0.443450953,-4.999871791,-79.9505310058594,33.5008430480957,2292,67517,"South carolina"
"12836","Berkeley",45015,"SC",0.529754547,-3.379392548,0.398577231,-11.6611589,-79.9505310058594,33.5008430480957,2292,67517,"South carolina"
"12943","Berks",42011,"PA",0.650243781,13.90492598,0.681668202,5.044557339,-76.1575546264648,40.3190422058105,2218,64896,"Pennsylvania"
